STOK KODU,STOK ADI,SEKTÖR ADI,MARKA,BARKOD 1,ÜRÜN GRUP KODU,AKS,CİNSİYET,UNIQ KOD,UNIQ ADI
SLY185322,EYELINER LIGNE NOIRE 1 ML,SELEKTIF TEKLİ,SISLEY,3473311853226,1-MA-00,MAKYAJ,KADIN,SSL0000000163,EYELINER LIGNE NOIRE
SLY185331,MASCARA SO CURL N°1 DEEP BLACK 10 ML,SELEKTIF TEKLİ,SISLEY,3473311853318,1-MA-00,MAKYAJ,KADIN,SSL0000000168,MASCARA SO CURL N°1 DEEP BLACK
SLY185332,MASCARA SO CURL N°2 DEEP BROWN 10 ML,SELEKTIF TEKLİ,SISLEY,3473311853325,1-MA-00,MAKYAJ,KADIN,SSL0000000169,MASCARA SO CURL N°2 DEEP BROWN
SLY185351,"MASCARA SO STRETCH 1 DEEP BLACK 7,5 ML",SELEKTIF TEKLİ,SISLEY,3473311853516,1-MA-00,MAKYAJ,KADIN,SSL0000000173,MASCARA SO STRETCH 1 DEEP BLACK
SLY185352,"MASCARA SO STRETCH 2 DEEP BROWN 7,5 ML",SELEKTIF TEKLİ,SISLEY,3473311853523,1-MA-00,MAKYAJ,KADIN,SSL0000000174,MASCARA SO STRETCH 2 DEEP BROWN
SLY185361,MASCARA PHYTO-NOIR 1 DEEP BLACK 7 ML,SELEKTIF TEKLİ,SISLEY,3473311853615,1-MA-00,MAKYAJ,KADIN,SSL0000000171,MASCARA PHYTO-NOIR 1 DEEP BLACK
SLY185362,MASCARA PHYTO-NOIR 2 DEEP BROWN,SELEKTIF TEKLİ,SISLEY,3473311853622,1-MA-00,MAKYAJ,KADIN,,
SLY186601,"LES PHYTO-OMBRES 10 SILKY CREAM 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866011,1-MA-00,MAKYAJ,KADIN,SSL0000000176,LES PHYTO-OMBRES 10 SILKY CREAM
SLY186602,"LES PHYTO-OMBRES 11 MAT NUDE 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866028,1-MA-00,MAKYAJ,KADIN,SSL0000000177,LES PHYTO-OMBRES 11 MAT NUDE
SLY186603,"LES PHYTO-OMBRES 12 SILKY ROSE 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866035,1-MA-00,MAKYAJ,KADIN,SSL0000000178,LES PHYTO-OMBRES 12 SILKY ROSE
SLY186604,"LES PHYTO-OMBRES 13 SILKY SAND 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866042,1-MA-00,MAKYAJ,KADIN,SSL0000000179,LES PHYTO-OMBRES 13 SILKY SAND
SLY186605,"LES PHYTO-OMBRES 14 SPARKLING TOPAZE 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866059,1-MA-00,MAKYAJ,KADIN,SSL0000000180,LES PHYTO-OMBRES 14 SPARKLING TOPAZE
SLY186606,"LES PHYTO-OMBRES 15 MAT TAUPE 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866066,1-MA-00,MAKYAJ,KADIN,SSL0000000181,LES PHYTO-OMBRES 15 MAT TAUPE
SLY186607,"LES PHYTO-OMBRES 20 SILKY CHESTNUT 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866073,1-MA-00,MAKYAJ,KADIN,SSL0000000182,LES PHYTO-OMBRES 20 SILKY CHESTNUT
SLY186608,"LES PHYTO-OMBRES 21 MAT COCOA 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866080,1-MA-00,MAKYAJ,KADIN,SSL0000000183,LES PHYTO-OMBRES 21 MAT COCOA
SLY186611,"LES PHYTO-OMBRES 24 SILKY STEEL 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866110,1-MA-00,MAKYAJ,KADIN,SSL0000000184,LES PHYTO-OMBRES 24 SILKY STEEL
SLY186612,"LES PHYTO-OMBRES 25 METALLIC KHAKI 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866127,1-MA-00,MAKYAJ,KADIN,SSL0000000185,LES PHYTO-OMBRES 25 METALLIC KHAKI
SLY186613,"LES PHYTO-OMBRES 30 SILKY SKY 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866134,1-MA-00,MAKYAJ,KADIN,SSL0000000186,LES PHYTO-OMBRES 30 SILKY SKY
SLY186614,"LES PHYTO-OMBRES 31 METALLIC PINK 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866141,1-MA-00,MAKYAJ,KADIN,SSL0000000187,LES PHYTO-OMBRES 31 METALLIC PINK
SLY186615,"LES PHYTO-OMBRES 32 SILKY CORAL 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866158,1-MA-00,MAKYAJ,KADIN,SSL0000000188,LES PHYTO-OMBRES 32 SILKY CORAL
SLY186617,"LES PHYTO-OMBRES 34 SPARKLING PURPLE 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866172,1-MA-00,MAKYAJ,KADIN,SSL0000000189,LES PHYTO-OMBRES 34 SPARKLING PURPLE
SLY186618,"LES PHYTO-OMBRES 40 GLOW PEARL 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866189,1-MA-00,MAKYAJ,KADIN,SSL0000000190,LES PHYTO-OMBRES 40 GLOW PEARL
SLY186619,"LES PHYTO-OMBRES 41 GLOW GOLD 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866196,1-MA-00,MAKYAJ,KADIN,SSL0000000191,LES PHYTO-OMBRES 41 GLOW GOLD
SLY186620,"LES PHYTO-OMBRES 42 GLOW SILVER 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311866202,1-MA-00,MAKYAJ,KADIN,SSL0000000192,LES PHYTO-OMBRES 42 GLOW SILVER
SLY186701,"OMBRE ECLAT LIQUIDE 1 CHAMPAGNE 6,5 ML",SELEKTIF TEKLİ,SISLEY,3473311867018,1-MA-00,MAKYAJ,KADIN,SSL0000000194,OMBRE ECLAT LIQUIDE 1 CHAMPAGNE
SLY186702,"OMBRE ECLAT LIQUIDE 2 COPPER 6,5 ML",SELEKTIF TEKLİ,SISLEY,3473311867025,1-MA-00,MAKYAJ,KADIN,SSL0000000195,OMBRE ECLAT LIQUIDE 2 COPPER
SLY186703,"OMBRE ECLAT LIQUIDE 3 PINK GOLD 6,5 ML",SELEKTIF TEKLİ,SISLEY,3473311867032,1-MA-00,MAKYAJ,KADIN,SSL0000000196,OMBRE ECLAT LIQUIDE 3 PINK GOLD
SLY186704,"OMBRE ECLAT LIQUIDE 4 CORAL 6,5 ML",SELEKTIF TEKLİ,SISLEY,3473311867049,1-MA-00,MAKYAJ,KADIN,SSL0000000197,OMBRE ECLAT LIQUIDE 4 CORAL
SLY186705,"OMBRE ECLAT LIQUIDE 5 BRONZE 6,5 ML",SELEKTIF TEKLİ,SISLEY,3473311867056,1-MA-00,MAKYAJ,KADIN,SSL0000000198,OMBRE ECLAT LIQUIDE 5 BRONZE
SLY186706,"OMBRE ECLAT LIQUIDE 6 WILD 6,5 ML",SELEKTIF TEKLİ,SISLEY,3473311867063,1-MA-00,MAKYAJ,KADIN,SSL0000000199,OMBRE ECLAT LIQUIDE 6 WILD
SLY187011,"PHYTO-EYE TWIST N°1 TOPAZE 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311870117,1-MA-00,MAKYAJ,KADIN,SSL0000000201,PHYTO-EYE TWIST N°1 TOPAZE
SLY187012,"PHYTO-EYE TWIST N°2 BRONZE 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311870124,1-MA-00,MAKYAJ,KADIN,SSL0000000202,PHYTO-EYE TWIST N°2 BRONZE
SLY187013,"PHYTO-EYE TWIST N°3 KHAKI 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311870131,1-MA-00,MAKYAJ,KADIN,SSL0000000203,PHYTO-EYE TWIST N°3 KHAKI
SLY187014,"PHYTO-EYE TWIST  N°4 STEEL 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311870148,1-MA-00,MAKYAJ,KADIN,SSL0000000204,PHYTO-EYE TWIST  N°4 STEEL
SLY187016,"PHYTO-EYE TWIST  N°6 MARINE 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311870162,1-MA-00,MAKYAJ,KADIN,SSL0000000205,PHYTO-EYE TWIST  N°6 MARINE
SLY187017,"PHYTO-EYE TWIST N°7 HAVANA 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311870179,1-MA-00,MAKYAJ,KADIN,SSL0000000206,PHYTO-EYE TWIST N°7 HAVANA
SLY187018,"PHYTO-EYE TWIST N°8 BLACK DIAMOND 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311870186,1-MA-00,MAKYAJ,KADIN,SSL0000000207,PHYTO-EYE TWIST N°8 BLACK DIAMOND
SLY187019,"PHYTO-EYE TWIST N°9 PEARL 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311870193,1-MA-00,MAKYAJ,KADIN,SSL0000000208,PHYTO-EYE TWIST N°9 PEARL
SLY187021,"PHYTO-EYE TWIST N°11 COPPER 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311870216,1-MA-00,MAKYAJ,KADIN,SSL0000000209,PHYTO-EYE TWIST N°11 COPPER
SLY187022,"PHYTO-EYE TWIST N°12 EMERALD 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311870223,1-MA-00,MAKYAJ,KADIN,SSL0000000210,PHYTO-EYE TWIST N°12 EMERALD
SLY187024,"PHYTO-EYE TWIST N°14 BLACK ROSE 1,5 GR",SELEKTIF TEKLİ,SISLEY,3473311870247,1-MA-00,MAKYAJ,KADIN,SSL0000000211,PHYTO-EYE TWIST N°14 BLACK ROSE
