,,,,,,,,,,,,,,,
MARKA,Ürün Adı,BARKOD-1,REFERANS-1,BARKOD-2,REFERANS-2,BARKOD-3,REFERANS-3,BARKOD-4,REFERANS-4,BARKOD-5,REFERANS-5,BARKOD-6,REFERANS-6,UNIQ KOD,UNIQ ÜRÜN ADI
RABANNE,OLYMPEA EDP80+BL100 MD26,3349668667024,PPR65240029,,,,,,,,,,,,
RABANNE,1M EDT100+SG100 FD26,3349668666676,PPR65239993,,,,,,,,,,,,
RABANNE,INV EDT100+SG100 FD26,3349668666812,PPR65240006,,,,,,,,,,,,
RABANNE,INV VICT ELIXIR PAR100+DEO150+MG10 FD26,3349668666850,PPR65240010,,,,,,,,,,,,
RABANNE,PHANTOM PARFUM 100+SG100 FD26,3349668666904,PPR65240015,,,,,,,,,,,,
RABANNE,INV VICT ELI100 + DEO150 + MG10 HD26,3349668672516,PPR65245934,,,,,,,,,,,,
RABANNE,INV EDT100 + DEO150 + MG10 HD26,3349668672448,PPR65245927,,,,,,,,,,,,
RABANNE,INV VICTORY EDP100 + DEO150 + MG10 HD26,3349668672523,PPR65245935,,,,,,,,,,,,
RABANNE,1M EDT100 + DEO150 + MG10 HD26,3349668672172,PPR65245900,,,,,,,,,,,,
RABANNE,1M ELIXIR 100+DEO150+MG10 HD26,3349668672363,PPR65245919,,,,,,,,,,,,
RABANNE,MGFH EDP90 + BL100 + MG10 HD26,3349668672851,PPR65245972,,,,,,,,,,,,
RABANNE,INV RE26 100 + DEO150 + MG10 HD26,3349668672455,PPR65245928,,,,,,,,,,,,
RABANNE,MGFH EDP50 + FS FAMOUS MASCARA HD26,3349668670598,PPR65243739,,,,,,,,,,,,
RABANNE,DELIST,,,,,,,,,,,,,,
RABANNE,OLYMPEA FLORA EDP 80 ML,3349668614479,PPR65188725,,,,,,,,,,, PPR000000120, OLYMPÉA FLORA EDP 80 ML
RABANNE,PHANTOM DEO STICK 75 GR,3349668586677,PPR65163469,,,,,,,,,,, PPR000000060, PHANTOM DEO STICK 75 GR
RABANNE,FAME RE24 EDP50 + BL75 HD24,3349668635108,PPR65211286,,,,,,,,,,,,
RABANNE,FAME FELINE COLLECTOR 25 80 ML REFILLABLE,3349668654819,PPR65222385,,,,,,,,,,,,
RABANNE,FAME EDP80+BL100 MD25,3349668642878,PPR65215411,,,,,,,,,,,,
RABANNE,PHANTOM PARFUM100 + MG10 AO25,3349668643134,PPR65215442,,,,,,,,,,,,
RABANNE,FAME EDP80 + BL100 + MG10 HD25,3349668656226,PPR65223469,,,,,,,,,,,,
RABANNE,PHANTOM PARFUM100 + DEO150 HD25,3349668656288,PPR65223483,,,,,,,,,,,,
RABANNE,FAME LE 25 EDP 80 ML,3349668630417,PPR65200318,,,,,,,,,,,,
CAROLINA HERRERA,CAROLINA HERRERA,,,,,,,,,,,,,,
CAROLINA HERRERA,212,,,,,,,,,,,,,,
CAROLINA HERRERA,212 NYC EDT 100 ML,8411061865408,PCH65116553,8411061088180,PCH65200068,,,,,,,,, PCH000000003, 212 NYC EDT 100 ML
CAROLINA HERRERA,212 NYC EDT 60 ML,8411061894026,PCH65119424,,,,,,,,,,, PCH000000004, 212 NYC EDT 60 ML
CAROLINA HERRERA,212 MEN,,,,,,,,,,,,,,
CAROLINA HERRERA,212 MEN EDT 100 ML,8411061853160,PCH65114527,8411061043868,PCH65183412,,,,,,,,, PCH000000007, 212 MEN EDT 100 ML
CAROLINA HERRERA,212 MEN EDT 50 ML,8411061896259,PCH65119644,,,,,,,,,,, PCH000000008, 212 MEN EDT 50 ML
CAROLINA HERRERA,212 VIP MEN,,,,,,,,,,,,,,
CAROLINA HERRERA,212 VIP MEN EDT 100 ML,8411061723760,PCH65116791,8411061088166,PCH65200066,,,,,,,,, PCH000000014, 212 VIP MEN EDT 100 ML
CAROLINA HERRERA,212 VIP MEN EDT 50 ML,8411061869253,PCH65116792,,,,,,,,,,, PCH000000015, 212 VIP MEN EDT 50 ML
CAROLINA HERRERA,'212 MEN NYC PARFUM,,,,,,,,,,,,,,
CAROLINA HERRERA,212 MEN NYC PARFUM 100 ML,8411061124994,PCH65227902,,,,,,,,,,,,
CAROLINA HERRERA,212 MEN NYC PARFUM 50 ML,8411061125007,PCH65227903,,,,,,,,,,,,
CAROLINA HERRERA,212 VIP ROSE,,,,,,,,,,,,,,
CAROLINA HERRERA,212 VIP ROSE EDP 80 ML,8411061777176,PCH65081672,8411061088197,PCH65200069,,,,,,,,, PCH000000016, 212 VIP ROSE EDP 80 ML
CAROLINA HERRERA,212 VIP ROSE EDP 50 ML,8411061777183,PCH65081673,8411061106518,PCH65214298,,,,,,,,, PCH000000017, 212 VIP ROSE EDP 50 ML
CAROLINA HERRERA,212 VIP ROSE ELIXIR,,,,,,,,,,,,,,
CAROLINA HERRERA,212 VIP ROSÉ ELIXIR EDP 80 ML,8411061083482,PCH65198170,,,,,,,,,,, PCH000000099, 212 VIP ROSÉ ELIXIR EDP 80 ML
CAROLINA HERRERA,212 VIP ROSÉ ELIXIR EDP 50 ML,8411061083499,PCH65198171,,,,,,,,,,, PCH000000100, 212 VIP ROSÉ ELIXIR EDP 50 ML
CAROLINA HERRERA,212 VIP BLACK,,,,,,,,,,,,,,
CAROLINA HERRERA,212 VIP BLACK EDP 100 ML,8411061869376,PCH65116796,8411061043844,PCH65183410,,,,,,,,, PCH000000021, 212 VIP BLACK EDP 100 ML
CAROLINA HERRERA,212 VIP BLACK EDP 50 ML,8411061869406,PCH65116797,8411061120637,PCH65224439,,,,,,,,, PCH000000022, 212 VIP BLACK EDP 50 ML
CAROLINA HERRERA,212 VIP BLACK ELIXIR,,,,,,,,,,,,,,
CAROLINA HERRERA,212 VIP BLACK ELIXIR EDP 100 ML,8411061105016,PCH65213586,,,,,,,,,,, PCH000000109, 212 VIP BLACK ELIXIR EDP 100 ML
CAROLINA HERRERA,212 VIP BLACK ELIXIR EDP 50 ML,8411061105009,PCH65213585,,,,,,,,,,, PCH000000110, 212 VIP BLACK ELIXIR EDP 50 ML
CAROLINA HERRERA,GOOD GIRL,,,,,,,,,,,,,,
CAROLINA HERRERA,GOOD GIRL EDP 80 ML,8411061818961,PCH65104398,8411061026342,PCH65176159,,,,,,,,, PCH000000001, CH GOODGIRL EDP 80 ML
CAROLINA HERRERA,GOOD GIRL EDP 50 ML,8411061819838,PCH65104824,8411061026250,PCH65176140,,,,,,,,, PCH000000002, CH GOODGIRL EDP 50 ML
CAROLINA HERRERA,GOOD GIRL BLUSH,,,,,,,,,,,,,,
CAROLINA HERRERA,GOOD GIRL BLUSH EDP 80 ML,8411061056752,PCH65187278,,,,,,,,,,, PCH000000093, GOOD GIRL BLUSH EDP 80 ML
CAROLINA HERRERA,GOOD GIRL BLUSH EDP 50 ML,8411061056769,PCH65187279,,,,,,,,,,, PCH000000094, GOOD GIRL BLUSH EDP 50 ML
CAROLINA HERRERA,GOOD GIRL BLUSH ELIXIR,,,,,,,,,,,,,,
CAROLINA HERRERA,GOOD GIRL BLUSH ELIXIR EDP 80 ML,8411061083659,PCH65198197,,,,,,,,,,, PCH000000103, GOOD GIRL BLUSH ELIXIR EDP 80 ML
CAROLINA HERRERA,GOOD GIRL BLUSH ELIXIR EDP 50 ML,8411061083666,PCH65198198,,,,,,,,,,, PCH000000104, GOOD GIRL BLUSH ELIXIR EDP 50 ML
CAROLINA HERRERA,VERY GOOD GIRL ,,,,,,,,,,,,,,
CAROLINA HERRERA,VERY GOOD GIRL EDP 80 ML,8411061995754,PCH65165902,8411061124802,PCH65227568,,,,,,,,, PCH000000040, VERY GOOD GIRL EDP 80 ML
CAROLINA HERRERA,VERY GOOD GIRL EDP 50 ML,8411061996973,PCH65166510,8411061043875,PCH65183413,,,,,,,,, PCH000000041, VERY GOOD GIRL EDP 50 ML
CAROLINA HERRERA,VERY GOOD GIRL ELIXIR,,,,,,,,,,,,,,
CAROLINA HERRERA,VERY GOOD GIRL ELIXIR EDP 80 ML,8411061106228,PCH65214251,,,,,,,,,,, PCH000000111, VERY GOOD GIRL ELIXIR EDP 80 ML
CAROLINA HERRERA,VERY GOOD GIRL ELIXIR EDP 50 ML,8411061106211,PCH65214250,,,,,,,,,,, PCH000000112, VERY GOOD GIRL ELIXIR EDP 50 ML
CAROLINA HERRERA,LA BOMBA,,,,,,,,,,,,,,
CAROLINA HERRERA,LA BOMBA EDP 80 ML,8411061077160,PCH65195954,,,,,,,,,,,,
CAROLINA HERRERA,LA BOMBA EDP 50 ML,8411061077153,PCH65195953,,,,,,,,,,,,
CAROLINA HERRERA,LA BOMBA BODY CREAM 200 ML,8411061111352,PCH65218189,,,,,,,,,,,,
